url;brand;category;price;size;delivery time;now
https://www.zalando.nl/lee-relaxed-chino-black-le422e01v-q11.html;Lee;RELAXED - Chino;69,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/denim-project-logo-airjet-organic-hoodie-hoodie-deep-depths-deo22s01q-m11.html;Denim Project;LOGO AIRJET ORGANIC HOODIE - Hoodie;34,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/weekday-oversized-2-pack-t-shirt-basic-whitegrey-melange-web22o05o-a11.html;Weekday;OVERSIZED 2 PACK - T-shirt basic;30,00;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/polo-ralph-lauren-long-sleeve-sport-overhemd-bluered-multi-po222d0tk-k11.html;Polo Ralph Lauren;LONG SLEEVE SPORT - Overhemd;149,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/wrangler-greensboro-straight-leg-jeans-mid-term-wr122g03w-k17.html;Wrangler;GREENSBORO - Straight leg jeans;84,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-seeger-hoodie-silver-bb122s0cy-d11.html;BOSS;SEEGER - Sweater;179,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/indicode-jeans-wadim-poloshirt-black-ij022p00y-q12.html;INDICODE JEANS;WADIM - Poloshirt;22,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/forsberg-granson-hoodie-schwarz-fou22s005-q11.html;FORSBERG;GRANSON - Sweater;59,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/polo-ralph-lauren-custom-poloshirt-starboard-red-po222p0ih-g11.html;Polo Ralph Lauren;CUSTOM - Poloshirt;109,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/bugatti-poloshirt-yellow-bu122p03q-e11.html;Bugatti;Poloshirt;49,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-vest-off-white-so222q0r4-a11.html;s.Oliver;JAS - Sweater met rits;69,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-pique-poloshirt-light-orange-melan-so222p0cu-h11.html;s.Oliver;PIQUÉ - Poloshirt;35,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/ricano-leren-jas-cognac-braun-riv22t00n-b11.html;Ricano;NEVIO R - Leren jas;219,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/huf-daytona-jacket-korte-jassen-indigo-h0h22t01v-k11.html;HUF;DAYTONA JACKET - Korte jassen;179,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/soliver-vest-dark-blue-so222q0r4-k11.html;s.Oliver;JAS - Sweater met rits;69,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/guess-slim-fit-jeans-blau-gu122g0gx-k11.html;Guess;Slim fit jeans;110,00;;1-2;2022-03-17 17:06:48.298391
